712089.0,715129.0,715526.0,715679.0,722638.0,723545.0,724590.0
712089.0,715129.0,715489.0,715679.0,722675.0,723545.0,724590.0
711941.0,715129.0,715489.0,715827.0,722675.0,723545.0,724590.0
712927.0,714503.0,715129.0,715827.0,722675.0,723545.0,724590.0
712059.0,712927.0,715129.0,715827.0,723545.0,724590.0,725119.0
712059.0,714047.0,715129.0,715827.0,723545.0,723999.0,724590.0
712059.0,715129.0,715827.0,718671.0,719375.0,723545.0,724590.0
712059.0,712813.0,715129.0,719375.0,721685.0,723545.0,724590.0
711350.0,712059.0,715129.0,719375.0,723148.0,723545.0,724590.0
711350.0,711948.0,715129.0,719486.0,723148.0,723545.0,724590.0
